Date_Checked,Isolate,Sub_Isolate,Clustered_morphotype,State,Date_Subcultured,coverage,Reculture,Contaminated,Comments
8-Jul-18,1234567,1,1234567,3,10-Jun-17,50,Y,N,
8-Jul-18,884,1,1,2,28-Jul-17,100,N,N,
8-Jul-18,49,1,1,4,18-Jul-17,100,N,N,
8-Jul-18,327,1,1,1,20-Jul-17,90,Y,N,
8-Jul-18,69,1,1,1,6-Oct-17,100,Y,N,
8-Jul-18,312,2,5,5,25-Sep-17,100,N,Y,cont. white fuzz in a small place
8-Jul-18,359,1,5,2,26-Jul-17,100,Y,N,
8-Jul-18,1013,1,1,4,28-Jul-17,100,N,N,
8-Jul-18,1122,2,1,5,21-Nov-17,100,N,N,
8-Jul-18,438,1,1,4,21-Jul-17,100,N,N,
8-Jul-18,1231,1,1,3,29-Jul-17,100,Y,N,
8-Jul-18,327,2,1,5,25-Sep-17,100,N,N,
8-Jul-18,171,1,2,4,19-Jul-17,100,N,N,
8-Jul-18,468,1,1,3,22-Jul-17,100,Y,N,
8-Jul-18,881,2,1,5,26-Sep-17,60,N,N,
8-Jul-18,394,1,1,1,21-Jul-17,100,Y,N,
8-Jul-18,262,1,1,1,20-Jul-17,40,Y,N,
8-Jul-18,335,1,3,1,20-Jul-17,30,Y,N,
8-Jul-18,60,1,3,2,18-Jul-17,20,Y,Y,dark cont. around edges
8-Jul-18,312,1,5,1,20-Jul-17,70,Y,N,
8-Jul-18,1135,1,3,5,28-Jul-17,100,N,N,
8-Jul-18,188,1,4,5,21-Nov-17,100,N,N,
8-Jul-18,394,2,1,3,21-Jul-17,100,Y,N,
8-Jul-18,69,2,1,1,18-Jul-17,100,Y,N,
8-Jul-18,1122,3,1,5,26-Sep-17,100,N,N,
8-Jul-18,680,1,8,5,26-Jul-17,100,N,N,
8-Jul-18,404,1,8,4,21-Jul-17,100,N,N,
8-Jul-18,401,1,9,1,21-Jul-17,100,Y,N,
8-Jul-18,341,2,6,5,25-Sep-17,100,N,N,
8-Jul-18,341,3,6,3,19-Jan-18,80,N,N,
8-Jul-18,384,1,7,3,21-Jul-17,50,Y,N,
8-Jul-18,401,2,9,2,26-Sep-17,100,Y,Y,white splotches on parts cont.
8-Jul-18,555,1,14,5,25-Sep-17,100,N,N,
8-Jul-18,93,1,12,5,18-Jul-17,95,N,N,
8-Jul-18,515,1,13,2,22-Jul-17,100,Y,N,
8-Jul-18,8,1,11,5,15-Jul-17,100,N,N,
8-Jul-18,177,1,12,1,19-Jul-17,100,Y,N,
8-Jul-18,1475,1,12,1,2-Aug-17,100,Y,N,
8-Jul-18,15,1,14,3,18-Jul-17,100,Y,N,
8-Jul-18,134,1,13,4,19-Jul-17,100,N,N,
8-Jul-18,551,1,13,1,22-Jul-17,100,Y,N,
8-Jul-18,223,2,13,2,19-Jan-18,100,Y,N,
8-Jul-18,273,1,13,4,20-Jul-17,100,N,N,
8-Jul-18,901,1,11,3,28-Jul-17,100,Y,N,
8-Jul-18,395,1,13,4,21-Jul-17,100,N,Y,white cont. at edge of cult.
8-Jul-18,376,1,13,5,20-Jul-17,100,N,N,
8-Jul-18,645,2,13,5,25-Apr-18,100,N,N,
8-Jul-18,1433,1,12,5,2-Aug-17,100,N,N,
8-Jul-18,351,1,14,5,20-Jul-17,100,N,N,
8-Jul-18,91,1,14,4,18-Jul-17,100,N,N,
8-Jul-18,132,2,13,1,26-Sep-17,100,Y,N,
8-Jul-18,73,1,11,4,18-Jul-17,100,N,N,
8-Jul-18,945,1,12,5,5-Oct-17,100,N,N,
8-Jul-18,145,1,13,1,19-Jul-17,100,Y,N,
8-Jul-18,555,2,14,3,18-Dec-17,100,Y,N,
8-Jul-18,500,1,12,4,22-Jul-17,100,N,N,
8-Jul-18,415,1,14,1,21-Jul-17,100,Y,N,
8-Jul-18,33,1,12,1,18-Jul-17,100,Y,N,
8-Jul-18,505,2,11,5,25-Apr-18,100,N,Y,possible cont. white spot on edge
8-Jul-18,639,1,15,1,26-Sep-17,100,Y,N,
8-Jul-18,144,2,14,5,21-Nov-17,90,N,Y,cont. around one side of plate
8-Jul-18,942,1,12,1,28-Jul-17,100,Y,N,
8-Jul-18,948,1,12,4,28-Jul-17,100,N,N,
8-Jul-18,38,1,12,5,18-Jul-17,100,N,N,
8-Jul-18,18,1,11,3,18-Jul-17,100,Y,N,
8-Jul-18,525,1,14,3,22-Jul-17,100,Y,N,
8-Jul-18,306,1,12,1,20-Jul-17,100,Y,N,
8-Jul-18,945,1,12,3,28-Jul-17,100,N,N,
8-Jul-18,115,1,12,4,18-Jul-17,100,N,N,
8-Jul-18,396,1,12,2,21-Jul-17,100,Y,N,
8-Jul-18,79,1,15,5,18-Jul-17,100,N,N,
8-Jul-18,647,1,13,4,21-Jul-17,100,N,N,
8-Jul-18,469,1,13,1,22-Jul-17,100,Y,N,
8-Jul-18,26,1,11,5,18-Jul-17,100,N,N,
8-Jul-18,555,2,14,5,19-Jan-18,100,N,N,
8-Jul-18,321,1,14,5,20-Jul-17,100,N,N,
8-Jul-18,507,1,12,1,22-Jul-17,100,Y,N,
8-Jul-18,4,1,11,4,15-Jul-17,100,N,N,
8-Jul-18,144,1,14,1,19-Jul-17,10,Y,N,
8-Jul-18,144,2,14,5,21-Nov-17,100,N,N,
8-Jul-18,354,1,12,5,20-Jul-17,100,N,Y,possible cont. white spots all over
8-Jul-18,343,1,13,1,20-Jul-17,80,Y,N,
8-Jul-18,222,1,13,1,19-Jul-17,100,Y,N,
8-Jul-18,491,1,11,5,22-Jul-17,100,N,N,
8-Jul-18,27,1,14,4,18-Jul-17,100,N,N,
8-Jul-18,181,1,14,1,19-Jul-17,100,Y,N,
8-Jul-18,889,1,15,1,28-Jul-17,40,Y,N,
8-Jul-18,509,1,11,5,22-Jul-17,100,N,N,
8-Jul-18,222,2,13,5,21-Nov-17,100,N,N,
8-Jul-18,420,1,14,1,21-Jul-17,100,Y,N,
8-Jul-18,10,1,13,5,18-Jul-17,100,N,N,
8-Jul-18,369,1,12,1,20-Jul-17,100,Y,N,
8-Jul-18,4,1,11,5,5-Oct-17,100,N,N,
8-Jul-18,147,1,11,1,17-Jul-17,100,Y,N,
8-Jul-18,95,1,13,5,8-Aug-17,100,N,N,
8-Jul-18,104,1,13,1,18-Jul-17,100,Y,N,
8-Jul-18,130,1,13,2,18-Jul-17,100,Y,N,
8-Jul-18,160,2,11,5,21-Apr-18,50,N,N,
8-Jul-18,411,1,10,1,21-Jul-17,100,Y,N,
8-Jul-18,178,1,18,4,21-Nov-17,100,N,N,
8-Jul-18,132,1,13,1,17-Jan-18,100,Y,N,
8-Jul-18,144,3,14,5,18-Dec-17,100,N,N,
11-Jul-18,639,2,15,2,26-Jul-17,100,Y,N,
11-Jul-18,28,1,16,3,18-Jul-17,100,Y,N,
11-Jul-18,619,1,15,5,26-Jul-17,80,N,N,
11-Jul-18,70,1,13,4,18-Jul-17,90,N,N,
11-Jul-18,245,1,17,3,20-Jul-17,80,Y,N,
11-Jul-18,22,1,19,5,18-Jul-17,95,N,N,
11-Jul-18,121,1,13,1,18-Jul-17,100,Y,N,
11-Jul-18,178,2,18,3,19-Jul-17,100,Y,N,
11-Jul-18,132,1,19,4,18-Jul-17,70,N,N,
11-Jul-18,269,1,28,5,20-Jul-17,100,N,N,
11-Jul-18,216,1,29,1,19-Jul-17,10,Y,N,Doesn’t look like any growth
11-Jul-18,285,1,29,1,28-Jul-17,10,Y,N,^^
11-Jul-18,32,1,26,4,18-Jul-17,100,N,N,
11-Jul-18,484,1,26,1,22-Jul-17,0,Y,Y,splotches of brown and white around edge
11-Jul-18,285,2,29,1,20-Jul-17,10,Y,N,
11-Jul-18,427,1,26,1,21-Jul-17,100,N,N,Splotches of green
11-Jul-18,136,1,19,3,18-Jul-17,100,Y,N,
11-Jul-18,178,1,18,4,19-Jul-17,100,N,N,
11-Jul-18,121,1,13,1,19-Jul-17,100,Y,N,
11-Jul-18,22,1,19,5,18-Jul-17,90,N,N,
16-Jul-18,3,1,26,5,15-Jul-17,100,N,N,
16-Jul-18,455,2,23,5,19-Jan-18,100,N,N,
16-Jul-18,163,1,26,5,19-Jul-17,100,N,N,
16-Jul-18,455,1,21,1,21-Jul-17,10,Y,N,
16-Jul-18,476,1,26,3,22-Jul-17,100,Y,N,
16-Jul-18,11,1,20,5,18-Jul-17,100,N,N,
16-Jul-18,403,2,24,1,25-Sep-17,100,Y,N,
16-Jul-18,275,1,25,5,20-Jul-17,100,N,N,
16-Jul-18,275,1,25,1,25-Sep-17,100,N,N,
16-Jul-18,403,2,24,5,2-Mar-18,100,N,N,
16-Jul-18,362,2,28,1,6-Jun-18,0,Y,N,
16-Jul-18,454,1,27,5,18-Dec-17,100,N,Y,white spot middle and along the edge
16-Jul-18,5,1,26,4,15-Jul-17,100,Y,N,
16-Jul-18,289,1,29,5,6-Mar-18,100,N,N,
16-Jul-18,9,1,28,5,18-Jul-17,100,N,N,
16-Jul-18,266,1,26,4,20-Jul-17,100,N,N,
16-Jul-18,383,1,28,5,21-Mar-18,100,N,N,
16-Jul-18,456,1,26,5,21-Jul-17,100,N,N,
16-Jul-18,794,1,33,5,8-Aug-17,100,N,N,
16-Jul-18,263,2,37,5,21-Nov-17,100,N,N,
16-Jul-18,544,1,27,5,22-Jul-17,100,N,N,
16-Jul-18,40,1,27,1,18-Jul-17,100,Y,N,
16-Jul-18,455,3,21,5,18-Dec-17,100,N,N,
16-Jul-18,453,1,22,5,21-Jul-17,100,N,N,
16-Jul-18,260,1,26,5,20-Jul-17,100,Y,Y,mixture of orange and white splotches
16-Jul-18,471,1,21,5,22-Jul-17,100,N,N,
16-Jul-18,289,2,29,1,18-Dec-17,100,N,N,
16-Jul-18,1009,1,31,5,28-Jul-17,100,N,N,
16-Jul-18,1007,1,31,5,28-Jul-17,60,N,N,
16-Jul-18,1651,1,31,3,3-Aug-17,70,Y,N,
16-Jul-18,385,2,31,5,26-Sep-17,60,N,N,
16-Jul-18,631,1,31,5,26-Jul-17,60,N,N,
16-Jul-18,406,2,36,1,9-Jun-18,0,Y,N,
16-Jul-18,982,1,33,5,28-Jul-17,100,N,N,
16-Jul-18,402,1,21,1,21-Jul-17,30,Y,N,
16-Jul-18,834,1,33,5,28-Jul-17,100,N,N,
16-Jul-18,616,1,33,5,26-Jul-17,100,N,N,
16-Jul-18,281,1,38,5,9-Oct-17,100,N,N,
16-Jul-18,364,2,38,5,6-Oct-17,100,N,N,
16-Jul-18,364,1,38,1,20-Jul-17,100,N,N,
16-Jul-18,195,1,39,1,19-Jul-17,100,Y,N,
16-Jul-18,244,2,32,5,2-Mar-18,30,N,N,
16-Jul-18,405,2,33,5,2-Mar-18,100,N,N,
16-Jul-18,410,2,31,5,6-Mar-18,70,N,N,
16-Jul-18,263,2,37,5,3-Apr-18,100,N,N,
16-Jul-18,406,2,36,5,3-Apr-18,90,N,N,
16-Jul-18,467,2,30,5,3-Apr-18,100,N,N,
16-Jul-18,444,2,34,5,3-Apr-18,100,N,N,
16-Jul-18,467,2,30,1,3-Apr-18,0,Y,N,
16-Jul-18,195,2,39,5,21-Nov-17,100,N,N,
16-Jul-18,1092,1,36,5,28-Jul-17,100,N,N,
16-Jul-18,249,2,38,5,6-Mar-18,100,N,N,
16-Jul-18,385,2,31,5,6-Mar-18,100,N,N,
16-Jul-18,1100,1,36,2,28-Jul-17,100,Y,N,
16-Jul-18,691,1,37,5,26-Jul-17,100,N,N,
16-Jul-18,875,1,36,1,28-Jul-17,100,Y,N,
16-Jul-18,1274,2,31,5,22-Sep-17,100,N,N,
16-Jul-18,44,1,37,1,18-Jul-17,100,Y,N,
16-Jul-18,406,1,36,5,21-Jul-17,100,N,N,
16-Jul-18,56,1,35,4,18-Jul-17,100,N,N,
16-Jul-18,47,1,35,1,18-Jul-17,100,Y,N,
16-Jul-18,280,1,34,5,20-Jul-17,100,N,N,
16-Jul-18,445,1,34,3,21-Jul-17,100,Y,N,
16-Jul-18,993,1,33,5,28-Jul-17,100,N,N,
16-Jul-18,871,1,33,2,28-Jul-17,100,Y,N,
16-Jul-18,871,2,33,5,28-Aug-17,100,N,N,
16-Jul-18,186,1,33,1,19-Jul-17,100,Y,N,
16-Jul-18,1039,1,33,5,3-Aug-17,100,N,N,
16-Jul-18,402,2,31,1,26-Sep-17,100,N,N,
16-Jul-18,1640,1,33,2,2-Aug-17,100,Y,N,
16-Jul-18,1412,1,31,2,4-Aug-17,100,N,N,
16-Jul-18,1621,1,31,1,3-Aug-17,100,Y,N,
16-Jul-18,794,1,33,3,28-Jul-17,100,N,N,
16-Jul-18,821,1,42,5,2-Mar-18,70,N,N,
16-Jul-18,347,2,42,1,31-May-18,0,Y,N,
16-Jul-18,414,2,44,5,19-Jan-18,100,N,N,
16-Jul-18,237,1,42,3,20-Jul-17,100,Y,N,
16-Jul-18,14,1,42,1,6-Jun-18,0,Y,N,
16-Jul-18,401,2,9,5,26-Sep-17,100,N,N,
16-Jul-18,1122,2,1,1,21-Nov-17,100,N,Y,splotches of blue-green bacteria
16-Jul-18,1013,1,1,5,28-Jul-17,100,N,N,
16-Jul-18,359,2,5,3,26-Jul-17,100,Y,N,
16-Jul-18,312,2,5,5,25-Sep-17,100,N,N,
16-Jul-18,69,2,1,1,6-Oct-17,100,Y,N,
16-Jul-18,327,1,1,1,20-Jul-17,100,Y,N,
16-Jul-18,49,1,1,5,18-Jul-17,100,N,N,
16-Jul-18,884,1,1,5,28-Jul-17,100,N,N,
16-Jul-18,430,2,45,5,21-Nov-17,100,N,N,
16-Jul-18,424,1,45,3,21-Jul-17,100,N,N,
16-Jul-18,563,1,45,5,26-Jul-17,100,N,N,
16-Jul-18,414,2,44,5,21-Nov-17,100,N,N,
16-Jul-18,1062,1,45,5,29-Jul-17,100,N,N,
16-Jul-18,46,2,42,5,23-Apr-18,100,N,N,
16-Jul-18,118,1,42,5,18-Jul-17,100,N,N,
16-Jul-18,431,1,42,3,21-Jul-17,100,N,N,
16-Jul-18,582,1,40,5,26-Jul-17,100,N,N,
16-Jul-18,459,2,48,4,26-Sep-17,100,N,N,
16-Jul-18,129,2,42,5,13-May-18,100,N,N,
16-Jul-18,1058,1,45,1,29-Jul-17,100,Y,N,
16-Jul-18,422,1,41,1,21-Jul-17,100,Y,N,
16-Jul-18,856,1,45,1,28-Jul-17,60,Y,N,
16-Jul-18,433,1,40,1,17-Jul-17,100,Y,N,
16-Jul-18,1516,1,42,5,2-Aug-17,100,N,N,
16-Jul-18,347,2,42,5,6-Mar-18,100,N,N,
16-Jul-18,975,1,45,5,28-Jul-17,100,N,N,
16-Jul-18,430,1,45,1,21-Jul-17,100,Y,N,
16-Jul-18,485,2,42,5,25-Apr-18,100,N,N,
16-Jul-18,434,2,42,5,25-Apr-18,100,N,Y,black dots around center
16-Jul-18,990,1,42,3,28-Jul-17,100,Y,N,
16-Jul-18,659,1,45,5,26-Jul-17,100,N,N,
16-Jul-18,457,1,43,1,21-Jul-17,100,Y,N,
16-Jul-18,167,1,45,1,19-Jul-17,100,Y,N,
16-Jul-18,653,1,42,4,26-Jul-17,100,N,N,
16-Jul-18,859,1,45,5,28-Jul-17,100,N,N,
16-Jul-18,1533,1,u220,2,4-Aug-17,100,Y,N,
16-Jul-18,317,2,42,5,21-Nov-17,100,N,N,
16-Jul-18,375,1,43,5,20-Jul-17,100,N,N,
16-Jul-18,82,1,45,4,18-Jul-17,100,N,N,
16-Jul-18,504,1,49,3,22-Jul-17,100,Y,N,
16-Jul-18,317,1,42,1,20-Jul-17,100,N,N,
16-Jul-18,51,1,43,5,18-Jul-17,100,N,N,
16-Jul-18,485,1,42,1,22-Jul-17,100,N,N,
16-Jul-18,81,1,43,3,18-Jul-17,100,Y,N,
16-Jul-18,54,1,46,1,18-Jul-17,100,Y,N,
16-Jul-18,272,1,46,5,20-Jul-17,100,N,N,
16-Jul-18,991,1,42,5,28-Jul-17,100,N,N,
16-Jul-18,107,1,47,4,18-Jul-17,100,N,N,
20-Jul-18,530,2,54,5,9-Oct-17,100,N,N,
20-Jul-18,139,2,52,5,3-Apr-18,90,N,N,
20-Jul-18,437,1,56,2,28-Jul-17,100,Y,N,
20-Jul-18,247,2,59,5,3-Apr-18,80,N,N,
20-Jul-18,139,2,52,3,5-Oct-17,100,Y,N,
20-Jul-18,242,2,53,5,3-Apr-18,100,N,N,
20-Jul-18,30,1,56,1,18-Jul-17,100,Y,N,
20-Jul-18,41,1,56,3,18-Jul-17,70,Y,N,
20-Jul-18,220,1,51,1,19-Jul-17,100,Y,N,
20-Jul-18,242,2,53,5,6-Oct-17,80,N,N,
20-Jul-18,342,2,56,2,25-Sep-17,100,Y,N,
20-Jul-18,206,2,50,5,3-Apr-18,100,N,N,
20-Jul-18,547,2,50,5,21-Mar-18,80,N,N,
20-Jul-18,16,1,53,5,18-Jul-17,100,N,N,
20-Jul-18,213,1,58,4,19-Jul-17,100,N,N,
20-Jul-18,539,1,50,1,22-Jul-17,50,Y,N,
20-Jul-18,274,1,56,5,20-Jul-17,100,N,N,
20-Jul-18,17,1,56,3,18-Jul-17,100,N,N,
20-Jul-18,578,1,56,5,22-Jul-17,100,N,N,
20-Jul-18,535,1,54,1,22-Jul-17,100,N,N,
20-Jul-18,334,1,56,5,21-Mar-17,70,N,N,
20-Jul-18,254,1,53,5,18-Dec-17,100,N,N,
20-Jul-18,530,3,54,5,21-Mar-18,100,N,N,
20-Jul-18,417,2,54,5,3-Apr-18,100,N,N,
24-Jul-18,530,2,54,1,21-Mar-18,100,N,N,
24-Jul-18,254,2,53,5,6-Mar-18,100,N,N,
24-Jul-18,247,2,59,1,26-Sep-17,80,Y,N,
24-Jul-18,247,3,59,4,21-Nov-17,70,N,N,
24-Jul-18,254,3,53,5,19-Jan-18,90,N,N,
24-Jul-18,355,2,56,2,21-Mar-18,60,Y,N,
24-Jul-18,342,2,56,3,21-Mar-18,70,Y,Y,red splotch on edge
24-Jul-18,432,2,50,5,21-Mar-18,70,N,Y,mixture of red and brownish white they are split into sections
24-Jul-18,437,2,56,3,6-Mar-18,80,N,N,
24-Jul-18,437,3,56,5,26-Sep-17,100,N,N,
24-Jul-18,583,2,50,5,21-Mar-18,70,N,N,
24-Jul-18,437,1,56,5,28-Jul-17,100,N,N,
24-Jul-18,490,1,50,1,22-Jul-17,100,Y,N,
24-Jul-18,442,,,,,,,,
14-Aug-18,297,1,66,3,20-Jul-17,100,Y,N,
14-Aug-18,499,1,68,5,22-Jul-17,100,N,N,
14-Aug-18,363,1,68,1,20-Jul-17,80,Y,N,
14-Aug-18,2,1,68,4,15-Jul-17,100,N,N,
14-Aug-18,587,1,69,5,26-Jul-17,100,N,N,
14-Aug-18,510,1,68,1,22-Jul-17,100,Y,N,
14-Aug-18,586,1,69,1,26-Jul-17,100,Y,N,
14-Aug-18,486,1,67,1,22-Jul-17,60,Y,N,
14-Aug-18,517,1,67,4,22-Jul-17,70,N,N,
14-Aug-18,168,1,62,5,19-Jul-17,100,N,N,
14-Aug-18,489,1,68,5,22-Jul-17,100,N,N,
14-Aug-18,506,2,67,5,21-Mar-18,100,N,N,
14-Aug-18,243,1,61,5,20-Jul-17,100,N,N,
14-Aug-18,286,1,67,1,20-Jul-17,70,Y,N,
14-Aug-18,508,1,67,5,22-Jul-17,70,N,N,
14-Aug-18,311,1,60,2,20-Jul-17,100,Y,N,
14-Aug-18,311,2,60,4,29-Sep-17,60,N,N,
14-Aug-18,472,1,67,3,22-Jul-17,80,Y,N,
14-Aug-18,1448,1,67,4,2-Aug-17,100,N,N,
14-Aug-18,477,1,64,1,22-Jul-17,100,Y,N,
14-Aug-18,529,1,68,4,22-Jul-17,100,N,N,
14-Aug-18,298,1,65,5,26-Sep-17,90,N,N,
14-Aug-18,569,1,74,5,26-Jul-17,100,N,N,
8-Aug-18,585,1,76,5,26-Jul-17,100,N,N,
8-Aug-18,1439,1,76,5,2-Aug-17,100,N,N,
8-Aug-18,1468,1,76,4,4-Aug-17,100,N,N,
8-Aug-18,571,1,72,5,26-Jul-17,100,N,N,
8-Aug-18,573,1,71,4,26-Jul-17,100,N,N,
8-Aug-18,570,1,73,3,8-Aug-17,100,N,N,
8-Aug-18,588,1,78,5,26-Jul-17,100,N,N,
8-Aug-18,1470,1,76,5,4-Aug-17,100,N,N,
8-Aug-18,584,1,75,3,26-Jul-17,100,N,N,
8-Aug-18,591,1,78,5,31-Jul-18,100,N,N,
8-Aug-18,589,1,79,5,31-Jul-18,90,N,N,
26-Oct-18,632,1,89,1,26-Jul-17,85,Y,N,
26-Oct-18,957,1,82,2,28-Jul-17,60,Y,N,
26-Oct-18,1129,1,81,1,28-Jul-17,100,Y,N,
26-Oct-18,632,2,89,5,27-Jul-17,100,N,N,
26-Oct-18,1287,1,86,5,29-Jul-17,100,N,N,
26-Oct-18,1129,2,81,4,26-Jul-17,90,N,N,
26-Oct-18,1637,1,85,3,4-Aug-17,40,N,N,
26-Oct-18,613,2,85,4,8-Aug-17,70,N,N,
26-Oct-18,1065,1,84,1,3-Aug-17,5,Y,N,"culture wont reculture, previous attempts showed no growth."
26-Oct-18,1571,1,85,1,4-Aug-17,100,Y,N,
26-Oct-18,613,1,85,1,26-Jul-17,100,Y,N,
26-Oct-18,633,1,89,1,26-Jul-17,100,Y,N,
26-Oct-18,958,1,82,5,28-Jul-17,100,N,N,
26-Oct-18,592,1,80,1,26-Jul-17,100,Y,N,
26-Oct-18,1122,4,1,5,24-Aug-18,100,N,N,
26-Oct-18,359,3,5,5,24-Aug-18,100,N,N,
26-Oct-18,341,3,6,1,20-Jul-17,40,N,N,
26-Oct-18,405,2,3,1,21-Jul-17,50,Y,N,
26-Oct-18,188,1,4,1,19-Jul-17,100,Y,N,
26-Oct-18,444,1,34,1,21-Jul-17,100,Y,N,
26-Oct-18,156,1,33,1,19-Jul-17,100,Y,N,
26-Oct-18,467,2,30,1,26-Sep-17,100,Y,N,
26-Oct-18,467,3,30,1,22-Jul-17,100,Y,N,
26-Oct-18,249,1,38,1,20-Sep-17,100,Y,N,
26-Oct-18,263,1,37,1,20-Jul-17,100,Y,N,

